Day of the Week,happy,sad,depressed,stressed,good,bad,tired,hurt,important,drunk,afraid
Monday,0.0087131942656,0.00858442784788,0.00246802300627,0.00218902910121,0.0419134689673,0.0258605888918,0.00603056056314,0.00289724439866,0.00334792686067,0.000150227487338,0.000794059575929
Tuesday,0.00891261664718,0.00908910410554,0.00304440865671,0.00231639789097,0.0409450903395,0.0243993911183,0.00743453418341,0.00286792119835,0.00355181009949,0.000375035849015,0.00110304661475
Wednesday,0.00944620556135,0.00953130651235,0.00312745994936,0.00253175329234,0.0412526859988,0.0247643767419,0.00616981894773,0.0027232304321,0.00344658851563,0.000297853328511,0.00121268855179
Thursday,0.00955589316776,0.00893938393113,0.00301649162208,0.00204769139309,0.0410198824229,0.0270383336636,0.00728801990444,0.00292841887399,0.00358896448466,0.000198163683202,0.0010788911641
Friday,0.00952242343597,0.0104164500904,0.00370085452315,0.00224546229495,0.0403143647213,0.0253446160883,0.00673638688484,0.00297315840905,0.00313948894941,0.000332661080733,0.00124747905275
Saturday,0.00974907778994,0.0100125663789,0.00391179212777,0.00182415176943,0.0400299971624,0.0266326158336,0.00662775142892,0.00342535165592,0.00348615671491,0.000304025294905,0.00135797965057
Sunday,0.0093056403991,0.00910201588271,0.00285074322948,0.00173080838933,0.0396253308898,0.0248218285482,0.00651598452454,0.00248421909998,0.00344125432702,0.000427611484423,0.000651598452454
